archetype,metaRating,height,weight,skillMoves,weakFoot,attributeAcceleration,attributeSprintSpeed,attributePositioning,attributeFinishing,attributeShotPower,attributeLongShots,attributeVolleys,attributePenalties,attributeVision,attributeCrossing,attributeFkAccuracy,attributeShortPassing,attributeLongPassing,attributeCurve,attributeAgility,attributeBalance,attributeReactions,attributeBallControl,attributeDribbling,attributeComposure,attributeInterceptions,attributeHeadingAccuracy,attributeDefensiveAwareness,attributeStandingTackle,attributeSlidingTackle,attributeJumping,attributeStamina,attributeStrength,attributeAggression,Finesse Shot,Chip Shot,Power Shot,Dead Ball,Power Header,Low Driven Shot,Incisive Pass,Pinged Pass,Long Ball Pass,Tiki Taka,Whipped Pass,Jockey,Block,Intercept,Anticipate,Slide Tackle,Bruiser,Technical,Rapid,Flair,First Touch,Trickster,Press Proven,Quick Step,Relentless,Trivela,Acrobatic,Long Throw,Aerial,accelerateType_EXPLOSIVE,accelerateType_MOSTLY_EXPLOSIVE,accelerateType_CONTROLLED_EXPLOSIVE,accelerateType_CONTROLLED,accelerateType_CONTROLLED_LENGTHY,accelerateType_MOSTLY_LENGTHY,accelerateType_LENGTHY,bodytype_Lean Medium,bodytype_Average Medium,bodytype_Stocky Medium,bodytype_Lean Tall,bodytype_Average Tall,bodytype_Stocky Tall,bodytype_Lean Short,bodytype_Average Short,bodytype_Stocky Short,bodytype_Unique
wide_half,94.8846654103532,191,82,4,5,89,89,82,80,97,95,76,67,97,87,70,98,98,95,85,85,96,93,91,97,95,92,99,98,92,90,98,90,92,0,0,1,0,0,0,1,2,1,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
deep_lying_playmaker,96.48592616864316,191,82,4,5,89,89,82,80,97,95,76,67,97,87,70,98,98,95,85,85,96,93,91,97,95,92,99,98,92,90,98,90,92,0,0,1,0,0,0,1,2,1,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
inside_forward,94.70595984092023,176,73,5,4,99,99,95,95,88,90,80,77,93,90,70,92,88,88,98,95,95,98,98,95,34,66,42,33,24,84,95,74,66,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
advanced_forward,94.42907441479946,176,73,5,4,99,99,95,95,88,90,80,77,93,90,70,92,88,88,98,95,95,98,98,95,34,66,42,33,24,84,95,74,66,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
shadow_striker,94.68700078912748,186,75,4,5,91,90,97,98,95,95,85,85,97,80,75,97,97,85,92,92,98,97,98,97,90,85,86,86,86,93,98,86,94,0,0,2,0,0,0,2,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
playmaker,94.02970348261171,186,75,4,5,91,90,97,98,95,95,85,85,97,80,75,97,97,85,92,92,98,97,98,97,90,85,86,86,86,93,98,86,94,0,0,2,0,0,0,2,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
wide_midfielder,94.68795107449621,175,59,5,5,97,96,96,95,96,97,92,86,97,97,83,96,92,99,99,88,90,97,98,92,43,87,56,62,57,95,98,84,75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
inside_forward,95.49613596174986,175,59,5,5,97,96,96,95,96,97,92,86,97,97,83,96,92,99,99,88,90,97,98,92,43,87,56,62,57,95,98,84,75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
advanced_forward,95.32129543620478,164,58,4,5,97,98,96,97,95,91,91,86,82,81,80,97,83,82,93,92,97,99,99,90,52,90,48,50,47,96,97,95,80,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
false_nine,93.46490435169423,164,58,4,5,97,98,96,97,95,91,91,86,82,81,80,97,83,82,93,92,97,99,99,90,52,90,48,50,47,96,97,95,80,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
